singlish,english,meaning,sentiment_description,sentiment_score
tsai / zai,skilled at something,"(From Hokkien 在 tsāi lit.  (of a person) steady; solid; confident and collected under pressure; possibly also conflated with Hokkien 才 tsâi - ""very talented"") to be very skilled at something.",positive,0.738
tuang,hang out and not do anything means to hang out and not do anything, commonly used in reference to not going to classes.,neutral,0.068
twa kee,big or famous people,(From Hokkien 大枝) Used to describe big or famous people.,positive,0.378
ulu,rural/remote,(From Malay) Used to describe a rural or remote area or country bumpkin. Commonly found in road names around Singapore as well (e.g. Ulu Pandan).,neutral,-0.298
un,understand,"(From English/Cantonese) Abbreviation for 'understand', was once used widely in Hong Kong.",neutral,-0.093
understooded,understood,(From English) Corruption of understood.,neutral,-0.052
up lorry,dead/spoilt,(From Hokkien/Malay) - Used to describe a person who has already died or an item that is spoilt and can no longer be used. See also ki chia.,negative,-0.92
use your brain / use your blain,think it through properly,Think it through properly. Made popular by Phua Chu Kang.,positive,0.242
very the,very,"(From English/Chinese) Singlish phrase emphasising 'very', directly transliterated from the Chinese 非常地 (fēi cháng de), which means the same. Usually employed with a clearly sarcastic tone.",neutral,-0.214
vomit blood,extreme difficulty,"A literal translation of the Chinese expression 吐血, which usually means to experience an extreme or unendurable difficulty or irritation. ""Vomit"" is often pronounced ""womit"".",negative,-0.774
wa(h) lan (eh),exclamation (From Hokkien/Teochew 我𡳞  lit. 'oh, my penis') Crude derivative of Wah Lau.,negative,-1.0
wa(h) lao (eh) / walao (eh) / wah lau (eh) / walau (eh),exclamation of shock,"(From Hokkien/Teochew 我老, lit. 'my elderly') – Exclamation of shock; ""WTF”.",negative,-0.948
wa(h) kao / wakao,exclamation of shock,"(From Chinese 哇靠 wà kào) Exclamation of shock. ""What the hell just happened?”",negative,-0.947
wa(h) se(h),exclamation of shock,"(From Hokkien/Teochew 哇塞 wah seh) Exclamation of shock. ""What the hell"".",negative,-0.972
wayang,acting/for show,"(From Malay) lit. ""puppetry"", ""theatrical"". Means 'acting' or 'for show'.",negative,-0.506
where got,this won't happen ‘This won’t happen’," ‘When did it happen?’""",negative,-0.414
white horse,influential person's son,(From English) The son of a government official and/or some other influential person. The term is derived from the drawing of a white horse that used to appear at the bottom left-hand corner of the computer screen displaying patient information when said scion visits his camp's Medical Officer.,neutral,-0.07
womit,mispronunciation of vomit,Mispronunciation of 'vomit'.,neutral,-0.1
xia lan,arrogant,(From Hokkien) Arrogant; egoistic; pretentious.,negative,-0.902
xia suay / sia suay,disgrace/embarrassment,(From Hokkien/Teochew 瀉衰/泻衰 sià-soe) Disgrace; embarrassment. Unlucky.,negative,-1.0
yandao,handsome male,(From Hokkien 緣投/缘投 iân-tâu) A handsome male.,positive,0.813
yaya papaya,"proud/arrogant Used to describe someone who's proud  arrogant  or showing off; often with disappointing outcomes  i.e.  ""Our football team's striker is damn yaya papaya"," always try to solo dribble until lose the ball"".",negative,-0.823
your grandfather's road ah?,rude retort,"""Does your grandfather own this road?"". Used as a rhetorical question on a person who is road hogging or doing something inappropriate on the road. (""Kanina! This one your grandfather's road ah? Cannot see got people driving ah!?"")",negative,-1.0
your head,disagreement,"Mild, rebellious curse used to disabuse someone of an erroneous assumption. Directly transliterated from Chinese 你的头 or 你个头. Often used in conjunction with the word ah, i.e. ""your head ah"".",negative,-0.586
zai,skilled at something,See tsai / zai.,positive,0.695
zao hor,impressive,(From Hokkien) Impressive.,positive,0.761
zao kng,accidentally expose oneself,(From Hokkien) To accidentally expose oneself.,negative,-0.716
zha bo,see char bor,See char bor.,neutral,-0.124
zhun,accurate (From Chinese 準/准  Hokkien: chún, Mandarin:zhǔn) Accurate.,positive,0.859
zhun bo,are you sure or not? (From Hokkien/Teochew 準無/准无 chún-bô," lit. 'Accurate or not?') Means ""Are you sure or not?""",neutral,0.306
zilo,zero,Zero. See jilo / jiro / zilo.,neutral,-0.099
zi siao,disturb/ridicule (From Hokkien 恥笑/耻笑 thí-siâu) To disturb, ridicule or tease.,negative,-0.974
char kway teow,fried flat rice noodles,"(From Hokkien/Teochew) Fried flat rice noodles with bean sprouts, Chinese sausages, eggs and cockles, in black sweet sauce, with or without chilli.",neutral,0.176
chwee kueh,steamed rice flour cakes,(From Teochew 水粿) Cup-shaped steamed rice flour cakes topped with preserved vegetables (usually radish) and served with or without chilli.,neutral,0.185
Hokkien char mee,kuala lumpur hokkien noodle,"(From Hokkien 福建炒麵/福建炒面, lit. 'Fujian fried noodles') Refers to the Kuala Lumpur Hokkien noodle. It is a dish of thick yellow noodles braised in thick dark soy sauce with pork, squid, fish cake and cabbage as the main ingredients and cubes of pork fat fried until crispy.",neutral,0.164
Hokkien hae mee,fujian prawn noodles,"(From Hokkien 福建蝦麵/福建虾面, lit. 'Fujian prawn noodles') Refers to either the Penang prawn noodle or Singapore prawn noodle. Soup-based (Penang) and stir-fried (Singapore). Egg noodles and rice noodles with no dark soya sauce used. Prawn is the main ingredient with slices of chicken or pork, squid and fish cake. Kang Kong (water spinach) is common in the Penang version.",neutral,0.096
ice kacang,crushed ice with syrup,(From Malay) Crushed ice with flavoured syrup poured into them. Beans and jelly are usually added as well.,positive,0.219
kangkong / kangkung,water spinach,(From Malay) Water spinach (Ipomoea aquatica).,neutral,0.017
kaya,local jam,"(From Malay) Local jam mixture made of coconut, sugar and egg of Straits Chinese origins.",positive,0.352
roti-kaya,toasted bread with kaya,(From Malay) Toasted bread with Kaya.,positive,0.41
mee goreng,malay fried noodles,(From Chinese/Malay) Malay fried noodles.,neutral,0.143
otah,fish paste in banana leaf,"(From Malay) Fish paste wrapped in banana leaf or coconut leaves and cooked over a charcoal fire. Southeast Asian influence - you can find similar versions in Thailand, Indonesia and Malaysia.",neutral,0.116
popiah,chinese spring rolls,"(From Hokkien) Chinese spring rolls (non-fried). Various condiments and vegetables wrapped in a flour skin with sweet flour sauce. Condiments can be varied, but the common ones include turnip, bamboo shoots, lettuce, Chinese sausage, prawns, bean sprouts, garlic and peanut. Originates from China. Hokkien and Straits Chinese (Nonya) popiah are the main versions.",neutral,0.128
rojak,local salad,"(From Malay) local salad of Malay origins. A mixture of sliced cucumber, pineapple, turnip, dried beancurd, Chinese doughsticks (Youtiao), bean sprouts with prawn paste, sugar, lotus buds and assam (tamarind).",neutral,0.105
roti john,indian hamburger,(From Malay/English) Indian version of western hamburger consisting of two halves of French loaves fried with egg and minced beef/mutton. Colonial origins.,neutral,0.142
tauge / taoge / taugeh / taugey,bean sprout,(From Hokkien 豆芽 tāu-gê) Bean sprout.,neutral,0.041
tau gee,dried bean stick,(From Hokkien 豆枝 tāu-ki) Dried bean stick; dried beancurd strips in sticks or rolls.,neutral,0.007
tze char,cook and fry,"(From Hokkien 煮炒 tsír-tshá) lit. meaning cook and fry. A general term for food served by mini restaurants in local hawker stalls serving restaurant-style Chinese dishes, like fried noodles, sweet and sour pork, claypot tofu, etc.",neutral,0.152
teh,tea,(From Hokkien/Malay 茶 tê) Tea.,neutral,-0.091
teh-O,tea with sugar,"(From Hokkien 茶烏/茶乌 tê-o, lit. 'black tea') Tea without milk but instead with sugar.",neutral,-0.026
teh-O-ice-limau,iced lemon tea,(From Hokkien-English-Malay) Home brewed iced lemon tea.,positive,0.256
teh-C,tea with evaporated milk,"(From Hokkien/Hainanese) Tea with evaporated milk. The C refers to the evaporated milk, derived from Hainanese See/Xi which sounds like alphabet 'C', in Hainanese See Gu-Nin refers to Evaporated or Fresh (See/C) Milk (Gu-Nin) e.g. King of Kings or Carnation as many Coffeeshops and related businesses are operated by Hainanese people in earlier days and even today.",neutral,-0.028
teh-cino,milk layered with tea,"(From Hokkien) Milk layered with tea on top (similar to latte macchiato), though its name hints towards a tea version of cappuccino.",positive,0.256
teh-peng,iced milk tea,(From Hokkien 茶冰 tê-peng) Iced milk tea sweetened with condensed milk.,neutral,0.042
teh-poh,weak tea,(From Hokkien 茶薄 tê-po̍h) Weak or thin tea.,negative,-0.325
teh-kosong,plain tea,(From Hokkien/Malay) Plain Tea.,neutral,-0.065
teh-kah-dai,tea with more sugar,"(From Hokkien/Cantonese 加底 gaa1 dai2, lit. 'add base') Milk tea sweetened with condensed milk, with more sugar.",positive,0.261
teh-siu-dai,tea with less sugar,"(From Hokkien/Cantonese 少底 siu2 dai2, lit. 'less base') Milk tea sweetened with condensed milk, with less sugar.",neutral,-0.03
teh-pua seo,lukewarm tea,(From Hokkien 茶半燒/茶半烧 tê puànn-sio) Lukewarm tea.,neutral,-0.24
teh-O-kah-dai,tea with more sugar,"(From Hokkien/Cantonese 加底 gaa1 dai2, lit. 'add base') Tea with more sugar.",positive,0.232
teh-O-siu-dai,tea with less sugar,"(From Hokkien/Cantonese 少底 siu2 dai2, lit. 'less base') Tea with less sugar.",neutral,0.034
teh-C-kah-dai,milk tea with more sugar,"(From Hokkien/Hainanese/Cantonese 加底 gaa1 dai2, lit. 'add base') Milk tea with more sugar.",positive,0.309
teh-C-siu-dai,milk tea with less sugar,"(From Hokkien/Hainanese/Cantonese 少底 siu2 dai2, lit. 'less base') Milk tea with less sugar.",neutral,0.064
teh-packet or Teh-pao,tea to go,(From Hokkien 茶包 tê pau) Tea to go.,neutral,-0.025
teh-tarik,pulled tea with milk,"(From Malay) 'Pulled' tea with milk, a Malay specialty.",neutral,0.175
teh-halia,tea with ginger,(From Malay) Tea with ginger extract.,positive,0.288
teh-halia tarik,pulled tea with ginger,(From Malay) Pulled tea with milk (teh tarik) and ginger.,positive,0.366
tiao he / tiau hir,teabag in hot water,"(From  Hokkien 釣魚/钓鱼 tiò-hî, lit. 'fishing') Teabag in hot water. Refers to dipping the teabag.",neutral,0.049
kopi,coffee,(From Malay/Hokkien 咖啡 ka-pi) Coffee.,neutral,0.041
kopi-O,coffee with sugar,"(From Malay/Hokkien 咖啡烏/咖啡乌 ka-pi-o, lit. 'black coffee') Coffee with sugar but no milk.",neutral,-0.004
kopi-C,coffee with evaporated milk,"(From Malay/Hainanese) Coffee with evaporated milk. The C refers to the evaporated milk, derived from Hainanese See/Xi which sounds like alphabet ""C"", in Hainanese See Gu-Nin refers to Evaporated or Fresh (See/C) Milk (Gu-Nin) e.g. King of Kings or Carnation as many Coffeeshops and related businesses are operated by Hainanese people in earlier days and even today.",neutral,0.067
kopi kosong,plain coffee,(From Malay) Substitutes condensed for evaporated milk. Plain coffee.,neutral,-0.138
kopi-peng,iced coffee,(From Malay/Hokkien 咖啡冰 ka-pi-peng) Coffee with ice.,neutral,-0.026
kopi-packet / kopi-pao,coffee to go,(From Malay/Hokkien 咖啡包 ka-pi-pau) Coffee to go.,neutral,0.029
kopi-pua seo,lukewarm coffee,(From Malay/Hokkien 咖啡半燒/咖啡半烧 ka-pi-pua-sio) Lukewarm coffee.,neutral,-0.201
kopi-gao,thick coffee,(From Malay/Hokkien 咖啡厚 ka-pi kāu) Thick coffee.,positive,0.148
kopi-poh,weak coffee,(From Malay/Hokkien 咖啡薄 ka-pi-poh) Weak or thin coffee.,negative,-0.315
kopi-kah-dai,coffee with more sugar,"(From Malay/Cantonese 加底 gaa1 dai2, lit. 'add base') Coffee with more sugar.",positive,0.26
kopi-siu-dai,coffee with less sugar,"(From Malay/Cantonese 少底 siu2 dai2, lit. 'less base') Coffee with less sugar.",neutral,0.007
bandung (drink),rose syrup-milk drink,"(From Malay) Rose syrup-milk drink, of Indian origins. (Goat's milk was traditionally used.)",positive,0.245
ice kosong,iced water,(From English-Malay) Iced water.,neutral,-0.064
horlick-dinosaur,iced horlicks with powder,(From English) Iced Horlicks with extra scoop of Horlicks powder on top.,positive,0.386
horlick-sio,hot horlicks,(From Hokkien-English) Hot Horlicks.,neutral,0.116
horlick-peng,iced horlicks,(From Hokkien-English) Iced Horlicks.,neutral,0.185
milo-sio,hot milo,(From Hokkien-English) Hot Milo.,neutral,0.132
milo dinosaur,iced milo with powder,(From English) Iced Milo with extra scoop of undissolved Milo powder on top.,positive,0.408
milo-peng,iced milo,(From Hokkien-English) Iced Milo.,neutral,0.127
tak kiu,milo,"(From Hokkien 踢球, lit. 'play football' or 'play soccer') Milo; Nestlé Milo often uses soccer and other sports as the theme of its advertisement.",neutral,0.028
tak kiu-peng,iced milo,(From Hokkien) Iced Milo.,neutral,0.143
arrow,delegate task,to delegate an unpleasant or boring task to someone. The term derives from the military and government's practice of stamping a tiny arrow next to the name of the person in official documents.,negative,-0.619
auntie,middle-aged woman,a middle-aged or elderly women; a young woman who dresses very unfashionably. From Chinese equivalent 阿姨.,neutral,-0.36
banana,westernised chinese,"westernised Chinese Singaporean who lives distinctively like a Westerner (lifestyle, religion, dress code, food, activities, English proficiency etc.) and usually cast aside or reject Chinese folk religions and traditions. The point of comparison is that both are ""yellow on the outside and white on the inside"".",neutral,-0.331
blur,"clueless clueless; in a daze; unaware of what is going on. Also commonly used in the phrase ""act blur""", which refers to the act of intentionally playing innocent.,negative,-0.481
blur like sotong,extremely clueless lit. 'blur like a squid'. To be extremely clueless. Squids squirt ink as a self-defence mechanism to get away. The ink makes it hard to see," thus ""blur"": ""Wah! You damn blur leh! Liddat also dunno!""",negative,-0.784
can,can do,"Used extensively as both a question particle and an answer particle. The negative is ""cannot"". E.g. ""Can or not?"" (Can you do that?) —""Can!"" (Sure!)",positive,0.761
confirm,for sure,For sure.,positive,1.0
confirm plus guarantee got chop / confirm plus chop,"extremely sure Extremely sure of something (derives from National Service/Military situations where one needs to be absolutely sure about something; ""guarantee got chop"" denotes that the action and whatever subsequent paperwork  if any"," will be approved). Basically ""officially sanctioned.""",positive,0.998
earpiece,earphones/headphones,"earphones, headphones. ""Ah boy, don't wear your earpiece while crossing the road!""",neutral,-0.109
follow,come along/understand,"to come along/accompany or to understand. E.g. ""Can follow anot?""",neutral,0.138
got,"there is/have (The past tense is always used.) 1. there is/are... 2. have. E.g. ""Now got pandemic"," got nothing to do at home one.""",neutral,-0.1
help (lah),"please please  do lend me a hand by desisting from whatever it is you are doing; help me out here. E.g. ""Help lah  stop hitting on my sister."" (Please", stop flirting with my sister.),neutral,0.258
ice cream,"not up to par not up to par or expectation. E.g. ""Wah a simple task you also fail"," you damn ice-cream sia.""",negative,-0.747
jam,traffic congestion,"can also mean traffic congestion. A shortcut of the word ""traffic jam"".",negative,-0.411
last time,"previously previously  in the past. E.g. ""I last time want to go Africa"," but now don't know 'ready.""",neutral,-0.063
lightbulb,third wheel,"an unwelcome companion in a couple; a third wheel. Originates from colloquial Cantonese term 电灯胆 (lit. electric light bulb). E.g., ""You two go ahead lah, I don't want to be lightbulb.""",negative,-0.454
mug,"to study to study. Derived from British 'mug up'. Common expression amongst all students. Instead of ""He's mugging up...""  locally used as ""He's mugging for..."" Confused with the Americanism", meaning assault with intent to rob.,neutral,0.271
smug,to study (smu),to study (SMU students). The term smugging or smugger refers to mugging by SMU students. Derived from SMU and mugger.,neutral,0.242
marketing,"buying food going to the market or shops to buy food. E.g. ""My dad may help in the marketing side"," by going to the market to get some things.""",neutral,-0.128
never,did not yet,"did not yet. ""you never tell me"".",neutral,-0.14
next time,in the future,"in the future. E.g. ""Next time when you get married, you'll know how to cook.""",neutral,0.131
one,emphasize opinion,"used as a way to aggressively exaggerate/place emphasis on one's opinion E.g. ""You confirm can one lah!"" or ""I never say one hor.""",neutral,-0.089
on,off,"switch on/off. E.g. ""I on the TV"".",neutral,-0.125
on ah,it's settled then,It's settled then?,positive,0.783
open,turn on (Derived from Chinese 開/开," which can mean both ""to open"" and ""to turn on"".) E.g. ""I open the light.""",neutral,-0.127
pass up,"hand in (From Chinese 交上 jiāo shàng) E.g. ""Pass up your homework."" (Although once common", usage is now discouraged in schools.),neutral,-0.107
power,praise,Usually means to praise someone or something.,positive,0.861
PRC,chinese national,"a Chinese national (abbreviation of ""People's Republic of China""). Often used disparagingly. See also cheena.",negative,-0.594
return,give back,to give back. Direct translation from the Chinese phrase. Commonly used in business emails.,neutral,-0.088
revert,reply,"to reply. Often used in emails and text messages. ""Please revert your decision to us"" doesn't mean ""Please change your decision"", but rather ""Please get back to us with your decision.""",neutral,-0.104
send,take someone somewhere,"to take (i.e. drive) somebody somewhere. E.g.: ""I send you to the airport lah."" ""She gets her maid to send the boy in a cab.""",neutral,-0.065
solid/steady,"excellent capable; excellent. E.g. ""Solid sia"," that movie."" See also kilat.",positive,0.814
spoil,broken down,Broken down.,negative,-0.682
stay,"to live somewhere To live (in a place). From Malay tinggal. E.g. ""My grandmother"," my aunt and uncle also stay next door.""",neutral,-0.147
step,"act like someone Act like (person). E.g. ""Eh"," don't step Ah Beng.""",negative,-0.484
steady,agreeing,"1. attached (in relationships). 2. agreeing over something, usually over an appointment. E.g. ""Eh u two steady liao ah?"", ""Today, come 3 o'clock? Steady."" 3. cool, capable (to praise integrity or strength) E.g. ""Wa you sick also turn up for work ah? Steady!""",positive,0.765
stone,spacing out,to space out; to do nothing. - BAKED.,negative,-0.546
stun,steal,"To steal. See: Cope. Can be used as part of ""Gostan"". See gostan.",negative,-0.966
take,to eat,"to eat; to have a meal. E.g. ""Have you taken your lunch?"" ""I don't take pork.""",neutral,-0.068
uncle,middle-aged man,"a male who is middle-aged or older, especially not well acquainted; a younger person who behaves/dresses in an uncool/unfashionable manner. Comes from the Chinese languages, which refer the same group of males as 叔叔.",neutral,-0.36
until,"to such an extent To such an extent that. A direct translation of the Chinese expression 到. Usually used after an adjective or a verb to express an extraordinary extent. E.g. ""bad until like that"" (so bad)"," ""Hot until ah."" (It's so hot.)",neutral,-0.074
world,nonsense,nonsense; bullshit.,negative,-0.958
Don't fly my kite/aeroplane,"don't stand me up Originated from the Cantonese slang 放飛機/放飞机 (Mandarin equivalent: 放鸽子  lit. ""release the pigeon""). In the past  letters were sometimes sent by pigeon. When one arranges to meet (via pigeon mail) and fails to turn up", it is said that the person has failed to keep the appointment. Rare expression. 'Do not go back on your word' or 'Do not stand me up',negative,-0.864
Don't play play!,don't fool around Uncommon expression, popularised by the local comedy series Phua Chu Kang Pte Ltd. Used only to evoke humour. Means 'Don't fool around' or 'Better take things seriously'.,negative,-0.685
Got problem ah?,do you have a problem? an aggressive, instigating challenge. Or an expression of annoyance when someone is disturbed. 'Do you have a problem?',negative,-1.0
Having here,"eat in at a restaurant To eat in at a restaurant. The antonym is ""take away"" or ""tah-bao"". Used by eatery or restaurant staff as in"," ""Having here or take away?"" (Are you eating in here or do you want to have it for take-away?)",neutral,-0.052
He still small boy one,too young,a remark (Often offensive) made against someone who is not of a legally minimum age allowed by the law. Or expression used to excuse someone because he is either immature or still too young to know the difference.,neutral,-0.414
Issit/Izzit?,is it?,"Abbreviated form of ""is it?"" used as a standard tag question. E.g.: You going home now issit? E.g.: You not going home issit? E.g.: Someone comments: ""You look good today."" Answer: ""Issit??""",neutral,-0.111
Last time policemen wear shorts!,policies are out-dated A retort made against a person who refers to how policies were made in the past, or in response to something which is passe. Direct reference to the three-quarter khaki pants standard in Singapore police uniforms until 1969.,negative,-0.484
Liddat oso can!?,impossible! (English - Like that also can?) In response to feats of achievement or actions which are almost impossible  or unexpected. Usually with tinge of awe, sarcasm or scepticism.,neutral,0.182
My England not powderful!,my english is not good (English - My English is not powerful (good)) Uncommon expression, used only to evoke humour. Means 'My English is not good'.,neutral,-0.293
no fish prawn oso can,"accepting a lesser alternative (From the Hokkien idiom 無魚蝦嘛好/无鱼虾嘛好 bo hir hay mah hoh. lit. ""no fish"," prawns also ok"") accepting a lesser alternative.",neutral,0.231
Not happy, talk outside! challenge to a fight Used as a challenge to a fight to settle an argument, by taking it outside. (Hokkien: Ow buay gong (settle it at the back/alley way)),negative,-1.0
On lah!/On!/Set!,"it's on! It's on!"" An expression used to voice enthusiastic agreement or confirmation (of an arranged meeting", event etc.),positive,0.941
Relak lah!,relax (Malay-English for Relax) Expression used to ask someone to chill  cool it. 'Relak one corner' means to skive, or to literally go chill out in one corner.,positive,0.645
..then you know!,emphasize consequence Expression used at the back of a sentence to emphasise consequence of not heeding the advice. 'Tell you not to park double yellow line, kena summon then you know!',negative,-0.656
Why you so liddat ar?,unreasonable appeal,"(English - Why are you so ""like that""?) 'an appeal made to someone who is being unreasonable.'",negative,-0.601
You think, he think  who confirm? / You think  I thought  who confirm? organisational foul-up,"Military expression used during organisational foul-ups. Generally used as a response to ""I thought..."" or ""I think..."" when something goes wrong.",negative,-0.864
You want 10 cent?,buzz off!,"Means to ""buzz off!"" Refers to public phones that require 10 cents per call.",negative,-0.919
Your grandfather's place/road ah?,rude retort Used to cut someone down to size in terms of their obnoxious boorish behaviour, behaving as if they owned the place.,negative,-1.0
You play where one?,gang affiliation,Used to challenge someone to state their gang affiliations (if any).,negative,-1.0
